t,lower,upper
7.760000E1,,
7.770000E1,,
7.780000E1,,
7.790000E1,,
7.800000E1,-2.760651E-2,-1.174269E-1
7.810000E1,,
7.820000E1,,
7.830000E1,,
7.840000E1,,
7.850000E1,,
7.860000E1,,
7.870000E1,,
7.880000E1,,
7.890000E1,,
7.900000E1,-2.774855E-2,-1.174269E-1
7.910000E1,,
7.920000E1,,
7.930000E1,,
7.940000E1,,
7.950000E1,,
7.960000E1,,
7.970000E1,,
7.980000E1,,
7.990000E1,,
8.000000E1,-2.801531E-2,-1.174269E-1
8.010000E1,,
8.020000E1,,
8.030000E1,,
8.040000E1,,
8.050000E1,,
8.060000E1,,
8.070000E1,,
8.080000E1,,
8.090000E1,,
8.100000E1,-2.810193E-2,-1.174269E-1
8.110000E1,,
8.120000E1,,
8.130000E1,,
8.140000E1,,
8.150000E1,,
8.160000E1,,
8.170000E1,,
8.180000E1,,
8.190000E1,,
8.200000E1,-2.825654E-2,-1.174269E-1
8.210000E1,,
8.220000E1,,
8.230000E1,,
8.240000E1,,
8.250000E1,,
8.260000E1,,
8.270000E1,,
8.280000E1,,
8.290000E1,,
8.300000E1,-2.848182E-2,-1.167251E-1
8.310000E1,,
8.320000E1,,
8.330000E1,,
8.340000E1,,
8.350000E1,,
8.360000E1,,
8.370000E1,,
8.380000E1,,
8.390000E1,,
8.400000E1,-2.857434E-2,-1.167251E-1
8.410000E1,,
8.420000E1,,
8.430000E1,,
8.440000E1,,
8.450000E1,,
8.460000E1,,
8.470000E1,,
8.480000E1,,
8.490000E1,,
8.500000E1,-2.880881E-2,-1.167251E-1
8.510000E1,,
8.520000E1,,
8.530000E1,,
8.540000E1,,
8.550000E1,,
8.560000E1,,
8.570000E1,,
8.580000E1,,
8.590000E1,,
8.600000E1,-2.899896E-2,-1.167251E-1
8.610000E1,,
8.620000E1,,
8.630000E1,,
8.640000E1,,
8.650000E1,,
8.660000E1,,
8.670000E1,,
8.680000E1,,
8.690000E1,,
8.700000E1,-2.911625E-2,-1.157895E-1
8.710000E1,,
8.720000E1,,
8.730000E1,,
8.740000E1,,
8.750000E1,,
8.760000E1,,
8.770000E1,,
8.780000E1,,
8.790000E1,,
8.800000E1,-2.939681E-2,-1.157895E-1
8.810000E1,,
8.820000E1,,
8.830000E1,,
8.840000E1,,
8.850000E1,,
8.860000E1,,
8.870000E1,,
8.880000E1,,
8.890000E1,,
8.900000E1,-2.946615E-2,-1.157895E-1
8.910000E1,,
8.920000E1,,
8.930000E1,,
8.940000E1,,
8.950000E1,,
8.960000E1,,
8.970000E1,,
8.980000E1,,
8.990000E1,,
9.000000E1,-2.956672E-2,-1.157895E-1
9.010000E1,,
9.020000E1,,
9.030000E1,,
9.040000E1,,
9.050000E1,,
9.060000E1,,
9.070000E1,,
9.080000E1,,
9.090000E1,,
9.100000E1,-2.963525E-2,-1.153216E-1
9.110000E1,,
9.120000E1,,
9.130000E1,,
9.140000E1,,
9.150000E1,,
9.160000E1,,
9.170000E1,,
9.180000E1,,
9.190000E1,,
9.200000E1,-2.960325E-2,-1.150877E-1
9.210000E1,,
9.220000E1,,
9.230000E1,,
9.240000E1,,
9.250000E1,,
9.260000E1,,
9.270000E1,,
9.280000E1,,
9.290000E1,,
9.300000E1,-2.987650E-2,-1.146199E-1
9.310000E1,,
9.320000E1,,
9.330000E1,,
9.340000E1,,
9.350000E1,,
9.360000E1,,
9.370000E1,,
9.380000E1,,
9.390000E1,,
9.400000E1,-2.993376E-2,-1.144947E-1
9.410000E1,,
9.420000E1,,
9.430000E1,,
9.440000E1,,
9.450000E1,,
9.460000E1,,
9.470000E1,,
9.480000E1,,
9.490000E1,,
9.500000E1,-3.012634E-2,-1.143366E-1
9.510000E1,,
9.520000E1,,
9.530000E1,,
9.540000E1,,
9.550000E1,,
9.560000E1,,
9.570000E1,,
9.580000E1,,
9.590000E1,,
9.600000E1,-3.022698E-2,-1.141216E-1
9.610000E1,,
9.620000E1,,
9.630000E1,,
9.640000E1,,
9.650000E1,,
9.660000E1,,
9.670000E1,,
9.680000E1,,
9.690000E1,,
9.700000E1,-3.039974E-2,-1.139442E-1
9.710000E1,,
9.720000E1,,
9.730000E1,,
9.740000E1,,
9.750000E1,,
9.760000E1,,
9.770000E1,,
9.780000E1,,
9.790000E1,,
9.800000E1,-3.043733E-2,-1.137520E-1
9.810000E1,,
9.820000E1,,
9.830000E1,,
9.840000E1,,
9.850000E1,,
9.860000E1,,
9.870000E1,,
9.880000E1,,
9.890000E1,,
9.900000E1,-3.017544E-2,-1.135589E-1
9.910000E1,,
9.920000E1,,
9.930000E1,,
9.940000E1,,
9.950000E1,,
9.960000E1,,
9.970000E1,,
9.980000E1,,
9.990000E1,,
1.000000E2,-3.082376E-2,-1.134680E-1
1.001000E2,,
1.002000E2,,
1.003000E2,,
1.004000E2,,
1.005000E2,,
1.006000E2,,
1.007000E2,,
1.008000E2,,
1.009000E2,,
1.010000E2,-3.084711E-2,-1.132651E-1
1.011000E2,,
1.012000E2,,
1.013000E2,,
1.014000E2,,
1.015000E2,,
1.016000E2,,
1.017000E2,,
1.018000E2,,
1.019000E2,,
1.020000E2,-3.091931E-2,-1.131645E-1
1.021000E2,,
1.022000E2,,
1.023000E2,,
1.024000E2,,
1.025000E2,,
1.026000E2,,
1.027000E2,,
1.028000E2,,
1.029000E2,,
1.030000E2,-3.097049E-2,-1.129410E-1
1.031000E2,,
1.032000E2,,
1.033000E2,,
1.034000E2,,
1.035000E2,,
1.036000E2,,
1.037000E2,,
1.038000E2,,
1.039000E2,,
1.040000E2,-3.121538E-2,-1.127347E-1
1.041000E2,,
1.042000E2,,
1.043000E2,,
1.044000E2,,
1.045000E2,,
1.046000E2,,
1.047000E2,,
1.048000E2,,
1.049000E2,,
1.050000E2,-3.131432E-2,-1.126127E-1
1.051000E2,,
1.052000E2,,
1.053000E2,,
1.054000E2,,
1.055000E2,,
1.056000E2,,
1.057000E2,,
1.058000E2,,
1.059000E2,,
1.060000E2,-3.135171E-2,-1.123836E-1
1.061000E2,,
1.062000E2,,
1.063000E2,,
1.064000E2,,
1.065000E2,,
1.066000E2,,
1.067000E2,,
1.068000E2,,
1.069000E2,,
1.070000E2,-3.139703E-2,-1.121568E-1
1.071000E2,,
1.072000E2,,
1.073000E2,,
1.074000E2,,
1.075000E2,,
1.076000E2,,
1.077000E2,,
1.078000E2,,
1.079000E2,,
1.080000E2,-3.146821E-2,-1.119937E-1
1.081000E2,,
1.082000E2,,
1.083000E2,,
1.084000E2,,
1.085000E2,,
1.086000E2,,
1.087000E2,,
1.088000E2,,
1.089000E2,,
1.090000E2,-3.174561E-2,-1.118510E-1
1.091000E2,,
1.092000E2,,
1.093000E2,,
1.094000E2,,
1.095000E2,,
1.096000E2,,
1.097000E2,,
1.098000E2,,
1.099000E2,,
1.100000E2,-3.178166E-2,-1.116847E-1
