frame_number,time_seconds,foam_area_pixels,total_area_pixels,foam_percentage,beer_area_pixels,beer_percentage,foam_to_beer_ratio
172,5.739930264993027,276312,378225,73.05492762244695,101913,26.945072377553043,2.711253716405169
173,5.773301952580195,276204,378225,73.02637319056117,102021,26.973626809438827,2.707324962507719
174,5.806673640167364,275968,378225,72.96397646903299,102257,27.036023530967018,2.698768788444801
175,5.840045327754533,275902,378225,72.94652653843612,102323,27.053473461563883,2.696383022389883
176,5.873417015341702,275599,378225,72.86641549342323,102626,27.133584506576774,2.685469569115039
177,5.90678870292887,275562,378225,72.85663295657346,102663,27.14336704342653,2.684141316735338
178,5.94016039051604,275239,378225,72.77123405380395,102986,27.22876594619605,2.672586565164197
179,5.973532078103208,275231,378225,72.76911891070131,102994,27.2308810892987,2.6723012991048023
180,6.006903765690377,274745,378225,72.64062396721528,103480,27.359376032784716,2.6550541167375337
181,6.040275453277546,274928,378225,72.68900786568841,103297,27.310992134311583,2.6615293764581742
182,6.073647140864714,274403,378225,72.55020159957697,103822,27.44979840042303,2.64301400473888
183,6.107018828451883,274309,378225,72.52534866812083,103916,27.474651331879173,2.6397186188844834
184,6.1403905160390515,273900,378225,72.41721197699782,104325,27.58278802300218,2.625449317038102
185,6.173762203626221,274016,378225,72.44788155198624,104209,27.552118448013747,2.629484977305223
186,6.207133891213389,273603,378225,72.33868728931192,104622,27.661312710688087,2.615157423868785
187,6.240505578800558,273715,378225,72.36829929274903,104510,27.63170070725097,2.6190316716103723
188,6.273877266387727,273157,378225,72.22076806133914,105068,27.779231938660846,2.59981155061484
189,6.307248953974896,273368,378225,72.27655496067156,104857,27.723445039328443,2.6070553229636553
190,6.340620641562064,272859,378225,72.14197898076542,105366,27.85802101923458,2.5896304310688456
191,6.3739923291492335,272865,378225,72.1435653380924,105360,27.856434661907592,2.5898348519362187
192,6.407364016736402,272633,378225,72.08222618811554,105592,27.917773811884462,2.581947496022426
193,6.440735704323571,272512,378225,72.05023464868795,105713,27.94976535131205,2.5778475684163724
194,6.4741073919107395,272256,378225,71.98255006940313,105969,28.017449930596865,2.5692042012286613
195,6.507479079497908,272175,378225,71.96113424548881,106050,28.038865754511207,2.5664780763790667
196,6.540850767085077,271585,378225,71.80514244166832,106640,28.19485755833168,2.5467460615153787
197,6.574222454672245,271712,378225,71.8387203384229,106513,28.161279661577105,2.5509749983570082
198,6.607594142259415,271313,378225,71.73322757617821,106912,28.266772423821802,2.5377226129901227
199,6.640965829846583,271167,378225,71.69462621455483,107058,28.30537378544517,2.5328980552597655
200,6.674337517433752,270552,378225,71.53202458853856,107673,28.46797541146143,2.5127190660611296
201,6.707709205020921,270793,378225,71.59574327450592,107432,28.404256725494086,2.520599076625214
202,6.74108089260809,270544,378225,71.52990944543592,107681,28.47009055456408,2.512458093814136
203,6.774452580195258,270465,378225,71.50902240729724,107760,28.490977592702755,2.5098830734966593
204,6.807824267782427,270286,378225,71.46169608037543,107939,28.538303919624564,2.504062479733924
205,6.841195955369596,270210,378225,71.44160222090025,108015,28.558397779099742,2.501597000416609
206,6.874567642956764,269914,378225,71.36334192610218,108311,28.636658073897813,2.492027587225674
207,6.907939330543933,269994,378225,71.3844933571287,108231,28.615506642871306,2.4946087534994597
208,6.941311018131102,269510,378225,71.25652719941834,108715,28.743472800581664,2.4790507289702433
209,6.974682705718271,269561,378225,71.27001123669773,108664,28.729988763302266,2.4806835750570566
210,7.008054393305439,269295,378225,71.19968272853461,108930,28.8003172714654,2.4721839713577527
211,7.041426080892609,269105,378225,71.14944807984665,109120,28.85055192015335,2.4661381964809386
212,7.074797768479777,268415,378225,70.96701698724304,109810,29.032983012756958,2.4443584373007923
213,7.108169456066946,268901,378225,71.09551193072906,109324,28.904488069270933,2.459670337711756
214,7.1415411436541145,268301,378225,70.93687619803028,109924,29.063123801969727,2.4407863614861176
215,7.174912831241284,268603,378225,71.01672285015533,109622,28.98327714984467,2.450265457663608
